"product_id","material_id","qty_per_unit","scrap_allowance_pct","bom_version"
"FG-IOT-GATEWAY","PCB-IO-02","1","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","PCB-MAIN-01","1","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","PWR-ADP-12V","1","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","CAS-AL-2","1","0.05","BOM-2026Q2"
"FG-IOT-GATEWAY","PWR-CAB-USB","1","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","SCR-M2-04","8","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","THM-PAD-01","2","0.01","BOM-2026Q2"
"FG-IOT-GATEWAY","PKG-CTN-7","1","0.03","BOM-2026Q2"
"FG-ENV-MONITOR","CAS-PL-1","1","0.05","BOM-2026Q2"
"FG-ENV-MONITOR","PCB-MAIN-01","1","0.01","BOM-2026Q2"
"FG-ENV-MONITOR","SEN-TEMP-01","1","0.01","BOM-2026Q2"
"FG-ENV-MONITOR","PKG-LBL-QC","2","0.03","BOM-2026Q2"
"FG-ENV-MONITOR","PWR-CAB-USB","1","0.01","BOM-2026Q2"
"FG-ENV-MONITOR","SCR-M2-04","5","0.01","BOM-2026Q2"
"FG-ENV-MONITOR","SEN-HUM-02","1","0.01","BOM-2026Q2"
"FG-ENV-MONITOR","PKG-CTN-7","1","0.03","BOM-2026Q2"
"FG-SENSOR-HUB","PCB-MAIN-01","1","0.01","BOM-2026Q2"
"FG-SENSOR-HUB","PWR-ADP-12V","1","0.01","BOM-2026Q2"
"FG-SENSOR-HUB","PKG-LBL-QC","2","0.03","BOM-2026Q2"
"FG-SENSOR-HUB","CAS-AL-2","1","0.05","BOM-2026Q2"
"FG-SENSOR-HUB","SCR-M2-04","6","0.01","BOM-2026Q2"
"FG-SENSOR-HUB","SEN-TEMP-01","2","0.01","BOM-2026Q2"
"FG-SENSOR-HUB","THM-PAD-01","1","0.01","BOM-2026Q2"
"FG-SENSOR-HUB","PKG-CTN-7","1","0.03","BOM-2026Q2"
"FG-POWER-NODE","PKG-CTN-7","1","0.03","BOM-2026Q2"
"FG-POWER-NODE","CAS-PL-1","1","0.05","BOM-2026Q2"
"FG-POWER-NODE","PCB-IO-02","1","0.01","BOM-2026Q2"
"FG-POWER-NODE","PWR-CAB-USB","1","0.01","BOM-2026Q2"
"FG-POWER-NODE","PKG-LBL-QC","1","0.03","BOM-2026Q2"
"FG-POWER-NODE","SCR-M2-04","4","0.01","BOM-2026Q2"
"FG-POWER-NODE","PWR-ADP-12V","1","0.01","BOM-2026Q2"
