"material_id","warehouse","on_hand_qty","qc_hold_qty","avg_monthly_consumption","dioh","stock_watch","last_count_date"
"PCB-MAIN-01","AUR-01-MAIN","1800","0","2581","20.9","N","2026-04-05"
"PCB-IO-02","AUR-01-MAIN","3833","0","2439","47.1","N","2026-04-05"
"SEN-TEMP-01","AUR-01-MAIN","4107","220","2581","47.7","N","2026-04-05"
"SEN-HUM-02","AUR-01-MAIN","6400","220","1200","160","Y","2026-04-05"
"CAS-AL-2","AUR-01-MAIN","9800","480","2100","140","Y","2026-04-05"
"CAS-PL-1","AUR-01-MAIN","3696","480","2368","46.8","N","2026-04-05"
"PWR-ADP-12V","AUR-01-MAIN","4107","0","2581","47.7","N","2026-04-05"
"PWR-CAB-USB","AUR-01-MAIN","4107","0","2581","47.7","N","2026-04-05"
"PKG-CTN-7","AUR-01-MAIN","22000","0","5200","126.9","Y","2026-04-05"
"PKG-LBL-QC","AUR-01-MAIN","3970","0","2510","47.5","N","2026-04-05"
"SCR-M2-04","AUR-01-MAIN","3833","0","2439","47.1","N","2026-04-05"
"THM-PAD-01","AUR-01-MAIN","3970","0","2510","47.5","N","2026-04-05"
