"consumption_id","plan_id","week_start","material_id","consumed_qty","issue_source","line"
"CON-0001","PLAN-001","2026-04-01","SCR-M2-04","2589","ERP","SMT-A"
"CON-0002","PLAN-001","2026-04-01","PKG-CTN-7","376","ERP","SMT-A"
"CON-0003","PLAN-001","2026-04-01","PCB-MAIN-01","276","ERP","SMT-A"
"CON-0004","PLAN-001","2026-04-01","PWR-ADP-12V","276","ERP","SMT-A"
"CON-0005","PLAN-001","2026-04-01","CAS-AL-2","246","ERP","SMT-A"
"CON-0006","PLAN-001","2026-04-01","PWR-CAB-USB","276","ERP","SMT-A"
"CON-0007","PLAN-001","2026-04-01","PKG-LBL-QC","371","ERP","SMT-A"
"CON-0008","PLAN-001","2026-04-01","SCR-M2-04","1624","ERP","SMT-A"
"CON-0009","PLAN-001","2026-04-01","PKG-CTN-7","283","ERP","SMT-A"
"CON-0010","PLAN-002","2026-04-08","PCB-MAIN-01","456","ERP","SMT-A"
"CON-0011","PLAN-002","2026-04-08","PWR-ADP-12V","456","ERP","SMT-A"
"CON-0012","PLAN-002","2026-04-08","CAS-AL-2","405","ERP","SMT-A"
"CON-0013","PLAN-002","2026-04-08","SEN-TEMP-01","912","ERP","SMT-A"
"CON-0014","PLAN-002","2026-04-08","THM-PAD-01","601","ERP","SMT-A"
"CON-0015","PLAN-002","2026-04-08","PKG-CTN-7","337","ERP","SMT-A"
"CON-0016","PLAN-002","2026-04-08","PCB-IO-02","387","ERP","SMT-A"
"CON-0017","PLAN-002","2026-04-08","SCR-M2-04","1551","ERP","SMT-A"
"CON-0018","PLAN-002","2026-04-08","CAS-PL-1","362","ERP","SMT-A"
"CON-0019","PLAN-002","2026-04-08","PCB-MAIN-01","349","ERP","SMT-A"
"CON-0020","PLAN-002","2026-04-08","SEN-TEMP-01","349","ERP","SMT-A"
"CON-0021","PLAN-002","2026-04-08","PWR-CAB-USB","349","ERP","SMT-A"
"CON-0022","PLAN-003","2026-04-15","PKG-LBL-QC","979","ERP","SMT-A"
"CON-0023","PLAN-003","2026-04-15","THM-PAD-01","480","ERP","SMT-A"
"CON-0024","PLAN-003","2026-04-15","PCB-IO-02","325","ERP","SMT-A"
"CON-0025","PLAN-003","2026-04-15","SCR-M2-04","2598","ERP","SMT-A"
"CON-0026","PLAN-003","2026-04-15","PKG-CTN-7","283","ERP","SMT-A"
"CON-0027","PLAN-003","2026-04-15","CAS-PL-1","429","ERP","SMT-A"
"CON-0028","PLAN-003","2026-04-15","PWR-CAB-USB","412","ERP","SMT-A"
"CON-0029","PLAN-003","2026-04-15","PWR-ADP-12V","412","ERP","SMT-A"
"CON-0030","PLAN-003","2026-04-15","PKG-LBL-QC","762","ERP","SMT-A"
"CON-0031","PLAN-003","2026-04-15","SEN-HUM-02","373","ERP","SMT-A"
"CON-0032","PLAN-004","2026-04-22","SCR-M2-04","3025","ERP","SMT-A"
"CON-0033","PLAN-004","2026-04-22","PKG-CTN-7","439","ERP","SMT-A"
"CON-0034","PLAN-004","2026-04-22","PCB-MAIN-01","349","ERP","SMT-A"
"CON-0035","PLAN-004","2026-04-22","PWR-ADP-12V","349","ERP","SMT-A"
"CON-0036","PLAN-004","2026-04-22","CAS-AL-2","309","ERP","SMT-A"
"CON-0037","PLAN-004","2026-04-22","PWR-CAB-USB","349","ERP","SMT-A"
"CON-0038","PLAN-004","2026-04-22","PKG-LBL-QC","445","ERP","SMT-A"
"CON-0039","PLAN-004","2026-04-22","SCR-M2-04","1988","ERP","SMT-A"
"CON-0040","PLAN-004","2026-04-22","PKG-CTN-7","346","ERP","SMT-A"
"CON-0041","PLAN-005","2026-04-29","PCB-MAIN-01","408","ERP","SMT-A"
"CON-0042","PLAN-005","2026-04-29","PWR-ADP-12V","408","ERP","SMT-A"
"CON-0043","PLAN-005","2026-04-29","CAS-AL-2","361","ERP","SMT-A"
"CON-0044","PLAN-005","2026-04-29","SEN-TEMP-01","815","ERP","SMT-A"
"CON-0045","PLAN-005","2026-04-29","THM-PAD-01","504","ERP","SMT-A"
"CON-0046","PLAN-005","2026-04-29","PKG-CTN-7","296","ERP","SMT-A"
"CON-0047","PLAN-005","2026-04-29","PCB-IO-02","339","ERP","SMT-A"
"CON-0048","PLAN-005","2026-04-29","SCR-M2-04","1357","ERP","SMT-A"
"CON-0049","PLAN-005","2026-04-29","CAS-PL-1","312","ERP","SMT-A"
"CON-0050","PLAN-005","2026-04-29","PCB-MAIN-01","301","ERP","SMT-A"
"CON-0051","PLAN-005","2026-04-29","SEN-TEMP-01","301","ERP","SMT-A"
"CON-0052","PLAN-005","2026-04-29","PWR-CAB-USB","301","ERP","SMT-A"
"CON-0053","PLAN-006","2026-05-06","PKG-LBL-QC","880","ERP","SMT-A"
"CON-0054","PLAN-006","2026-05-06","THM-PAD-01","432","ERP","SMT-A"
"CON-0055","PLAN-006","2026-05-06","PCB-IO-02","276","ERP","SMT-A"
"CON-0056","PLAN-006","2026-05-06","SCR-M2-04","2210","ERP","SMT-A"
"CON-0057","PLAN-006","2026-05-06","PKG-CTN-7","241","ERP","SMT-A"
"CON-0058","PLAN-006","2026-05-06","CAS-PL-1","378","ERP","SMT-A"
"CON-0059","PLAN-006","2026-05-06","PWR-CAB-USB","363","ERP","SMT-A"
"CON-0060","PLAN-006","2026-05-06","PWR-ADP-12V","363","ERP","SMT-A"
"CON-0061","PLAN-006","2026-05-06","PKG-LBL-QC","663","ERP","SMT-A"
"CON-0062","PLAN-006","2026-05-06","SEN-HUM-02","325","ERP","SMT-A"
"CON-0063","PLAN-007","2026-05-13","SCR-M2-04","2735","ERP","SMT-A"
"CON-0064","PLAN-007","2026-05-13","PKG-CTN-7","397","ERP","SMT-A"
"CON-0065","PLAN-007","2026-05-13","PCB-MAIN-01","301","ERP","SMT-A"
"CON-0066","PLAN-007","2026-05-13","PWR-ADP-12V","301","ERP","SMT-A"
"CON-0067","PLAN-007","2026-05-13","CAS-AL-2","267","ERP","SMT-A"
