"grn_id","po_id","pr_id","plan_id","material_id","vendor_id","po_qty","received_qty","open_qty","expected_receipt_date","actual_grn_date","erp_visible_to_planner","visibility_issue_reason"
"GRN-0001","PO-0001","PR-0001","PLAN-001","SCR-M2-04","V-ORBIT-PARTS","2697","2427","270","2026-04-07","2026-04-07","Y","normal receipt update"
"GRN-0002","PO-0002","PR-0002","PLAN-001","PKG-CTN-7","V-MEKONG-PACK","574","200","374","2026-04-09","2026-04-16","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0003","PO-0003","PR-0003","PLAN-001","PCB-MAIN-01","V-NOVA-PCB","288","259","29","2026-04-11","2026-04-11","Y","normal receipt update"
"GRN-0004","PO-0004","PR-0004","PLAN-001","PWR-ADP-12V","V-ORBIT-PARTS","288","100","188","2026-04-09","2026-04-14","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0005","PO-0005","PR-0005","PLAN-001","CAS-AL-2","V-ALPHA-CASING","375","131","244","2026-04-11","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0006","PO-0006","PR-0006","PLAN-001","PWR-CAB-USB","V-ORBIT-PARTS","288","259","29","2026-04-13","2026-04-13","Y","normal receipt update"
"GRN-0007","PO-0007","PR-0007","PLAN-001","PKG-LBL-QC","V-MEKONG-PACK","387","348","39","2026-04-15","2026-04-15","Y","normal receipt update"
"GRN-0008","PO-0008","PR-0008","PLAN-001","SCR-M2-04","V-ORBIT-PARTS","1692","592","1100","2026-04-13","2026-04-18","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0009","PO-0009","PR-0009","PLAN-001","PKG-CTN-7","V-MEKONG-PACK","433","151","282","2026-04-06","2026-04-12","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0010","PO-0010","PR-0010","PLAN-002","PCB-MAIN-01","V-NOVA-PCB","475","427","48","2026-04-15","","Y","normal receipt update"
"GRN-0011","PO-0011","PR-0011","PLAN-002","PWR-ADP-12V","V-ORBIT-PARTS","532","478","54","2026-04-17","2026-04-17","Y","normal receipt update"
"GRN-0012","PO-0012","PR-0012","PLAN-002","CAS-AL-2","V-ALPHA-CASING","618","216","402","2026-04-15","2026-04-20","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0013","PO-0013","PR-0013","PLAN-002","SEN-TEMP-01","V-FUTURE-SENSOR","1188","1069","119","2026-04-17","2026-04-17","Y","normal receipt update"
"GRN-0014","PO-0014","PR-0014","PLAN-002","THM-PAD-01","V-ORBIT-PARTS","627","564","63","2026-04-19","2026-04-19","Y","normal receipt update"
"GRN-0015","PO-0015","PR-0015","PLAN-002","PKG-CTN-7","V-MEKONG-PACK","515","180","335","2026-04-21","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0016","PO-0016","PR-0016","PLAN-002","PCB-IO-02","V-NOVA-PCB","404","141","263","2026-04-19","2026-04-24","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0017","PO-0017","PR-0017","PLAN-002","SCR-M2-04","V-ORBIT-PARTS","1616","1454","162","2026-04-21","2026-04-21","Y","normal receipt update"
"GRN-0018","PO-0018","PR-0018","PLAN-002","CAS-PL-1","V-ALPHA-CASING","378","340","38","2026-04-14","2026-04-14","Y","normal receipt update"
"GRN-0019","PO-0019","PR-0019","PLAN-002","PCB-MAIN-01","V-NOVA-PCB","182","163","19","2026-04-16","2026-04-16","Y","normal receipt update"
"GRN-0020","PO-0020","PR-0019","PLAN-002","PCB-MAIN-01","V-NOVA-PCB","182","63","119","2026-04-14","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0021","PO-0021","PR-0020","PLAN-002","SEN-TEMP-01","V-FUTURE-SENSOR","455","409","46","2026-04-16","2026-04-16","Y","normal receipt update"
"GRN-0022","PO-0022","PR-0021","PLAN-002","PWR-CAB-USB","V-ORBIT-PARTS","364","327","37","2026-04-18","2026-04-18","Y","normal receipt update"
"GRN-0023","PO-0023","PR-0022","PLAN-003","PKG-LBL-QC","V-MEKONG-PACK","1143","1028","115","2026-04-27","2026-04-27","Y","normal receipt update"
"GRN-0024","PO-0024","PR-0023","PLAN-003","THM-PAD-01","V-ORBIT-PARTS","500","175","325","2026-04-25","2026-04-30","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0025","PO-0025","PR-0024","PLAN-003","PCB-IO-02","V-NOVA-PCB","339","305","34","2026-04-27","","Y","normal receipt update"
"GRN-0026","PO-0026","PR-0025","PLAN-003","SCR-M2-04","V-ORBIT-PARTS","2707","2436","271","2026-04-29","2026-04-29","Y","normal receipt update"
"GRN-0027","PO-0027","PR-0026","PLAN-003","PKG-CTN-7","V-MEKONG-PACK","433","151","282","2026-04-22","2026-04-30","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0028","PO-0028","PR-0027","PLAN-003","CAS-PL-1","V-ALPHA-CASING","447","156","291","2026-04-20","2026-04-25","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0029","PO-0029","PR-0028","PLAN-003","PWR-CAB-USB","V-ORBIT-PARTS","430","387","43","2026-04-22","2026-04-22","Y","normal receipt update"
"GRN-0030","PO-0030","PR-0029","PLAN-003","PWR-ADP-12V","V-ORBIT-PARTS","430","387","43","2026-04-24","","Y","normal receipt update"
"GRN-0031","PO-0031","PR-0030","PLAN-003","PKG-LBL-QC","V-MEKONG-PACK","794","714","80","2026-04-26","2026-04-26","Y","normal receipt update"
"GRN-0032","PO-0032","PR-0031","PLAN-003","SEN-HUM-02","V-FUTURE-SENSOR","487","170","317","2026-04-24","2026-04-29","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0033","PO-0033","PR-0032","PLAN-004","SCR-M2-04","V-ORBIT-PARTS","3152","2836","316","2026-05-03","2026-05-03","Y","normal receipt update"
"GRN-0034","PO-0034","PR-0033","PLAN-004","PKG-CTN-7","V-MEKONG-PACK","751","262","489","2026-05-05","2026-05-12","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0035","PO-0035","PR-0034","PLAN-004","PCB-MAIN-01","V-NOVA-PCB","364","327","37","2026-05-07","","Y","normal receipt update"
"GRN-0036","PO-0036","PR-0035","PLAN-004","PWR-ADP-12V","V-ORBIT-PARTS","364","127","237","2026-04-26","2026-05-01","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0037","PO-0037","PR-0036","PLAN-004","CAS-AL-2","V-ALPHA-CASING","473","165","308","2026-04-28","2026-05-04","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0038","PO-0038","PR-0037","PLAN-004","PWR-CAB-USB","V-ORBIT-PARTS","364","327","37","2026-04-30","2026-04-30","Y","normal receipt update"
"GRN-0039","PO-0039","PR-0038","PLAN-004","PKG-LBL-QC","V-MEKONG-PACK","232","208","24","2026-05-02","2026-05-02","Y","normal receipt update"
"GRN-0040","PO-0040","PR-0038","PLAN-004","PKG-LBL-QC","V-MEKONG-PACK","232","81","151","2026-04-30","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0041","PO-0041","PR-0039","PLAN-004","SCR-M2-04","V-ORBIT-PARTS","2071","1863","208","2026-05-02","2026-05-02","Y","normal receipt update"
"GRN-0042","PO-0042","PR-0040","PLAN-004","PKG-CTN-7","V-MEKONG-PACK","529","185","344","2026-05-04","2026-05-11","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0043","PO-0043","PR-0041","PLAN-005","PCB-MAIN-01","V-NOVA-PCB","425","382","43","2026-05-13","2026-05-13","Y","normal receipt update"
"GRN-0044","PO-0044","PR-0042","PLAN-005","PWR-ADP-12V","V-ORBIT-PARTS","425","148","277","2026-05-11","2026-05-16","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0045","PO-0045","PR-0043","PLAN-005","CAS-AL-2","V-ALPHA-CASING","552","193","359","2026-05-04","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0046","PO-0046","PR-0044","PLAN-005","SEN-TEMP-01","V-FUTURE-SENSOR","1190","1071","119","2026-05-06","2026-05-06","Y","normal receipt update"
"GRN-0047","PO-0047","PR-0045","PLAN-005","THM-PAD-01","V-ORBIT-PARTS","526","473","53","2026-05-08","2026-05-08","Y","normal receipt update"
"GRN-0048","PO-0048","PR-0046","PLAN-005","PKG-CTN-7","V-MEKONG-PACK","452","158","294","2026-05-06","2026-05-11","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0049","PO-0049","PR-0047","PLAN-005","PCB-IO-02","V-NOVA-PCB","354","318","36","2026-05-08","2026-05-08","Y","normal receipt update"
"GRN-0050","PO-0050","PR-0048","PLAN-005","SCR-M2-04","V-ORBIT-PARTS","1414","1272","142","2026-05-10","","Y","normal receipt update"
"GRN-0051","PO-0051","PR-0049","PLAN-005","CAS-PL-1","V-ALPHA-CASING","326","293","33","2026-05-12","2026-05-12","Y","normal receipt update"
"GRN-0052","PO-0052","PR-0050","PLAN-005","PCB-MAIN-01","V-NOVA-PCB","314","109","205","2026-05-10","2026-05-15","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0053","PO-0053","PR-0051","PLAN-005","SEN-TEMP-01","V-FUTURE-SENSOR","393","353","40","2026-05-12","2026-05-12","Y","normal receipt update"
"GRN-0054","PO-0054","PR-0052","PLAN-005","PWR-CAB-USB","V-ORBIT-PARTS","314","282","32","2026-05-05","2026-05-05","Y","normal receipt update"
"GRN-0055","PO-0055","PR-0053","PLAN-006","PKG-LBL-QC","V-MEKONG-PACK","917","825","92","2026-05-14","","Y","normal receipt update"
"GRN-0056","PO-0056","PR-0054","PLAN-006","THM-PAD-01","V-ORBIT-PARTS","450","157","293","2026-05-12","2026-05-17","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0057","PO-0057","PR-0055","PLAN-006","PCB-IO-02","V-NOVA-PCB","323","290","33","2026-05-14","2026-05-14","Y","normal receipt update"
"GRN-0058","PO-0058","PR-0056","PLAN-006","SCR-M2-04","V-ORBIT-PARTS","2303","2072","231","2026-05-16","2026-05-16","Y","normal receipt update"
"GRN-0059","PO-0059","PR-0057","PLAN-006","PKG-CTN-7","V-MEKONG-PACK","184","64","120","2026-05-18","2026-05-26","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0060","PO-0060","PR-0057","PLAN-006","PKG-CTN-7","V-MEKONG-PACK","184","64","120","2026-05-16","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0061","PO-0061","PR-0058","PLAN-006","CAS-PL-1","V-ALPHA-CASING","394","354","40","2026-05-18","2026-05-18","Y","normal receipt update"
"GRN-0062","PO-0062","PR-0059","PLAN-006","PWR-CAB-USB","V-ORBIT-PARTS","379","341","38","2026-05-20","2026-05-20","Y","normal receipt update"
"GRN-0063","PO-0063","PR-0060","PLAN-006","PWR-ADP-12V","V-ORBIT-PARTS","379","341","38","2026-05-13","2026-05-13","Y","normal receipt update"
"GRN-0064","PO-0064","PR-0061","PLAN-006","PKG-LBL-QC","V-MEKONG-PACK","691","241","450","2026-05-11","2026-05-16","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0065","PO-0065","PR-0062","PLAN-006","SEN-HUM-02","V-FUTURE-SENSOR","424","148","276","2026-05-13","","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0066","PO-0066","PR-0063","PLAN-007","SCR-M2-04","V-ORBIT-PARTS","2849","2564","285","2026-05-22","2026-05-22","Y","normal receipt update"
"GRN-0067","PO-0067","PR-0064","PLAN-007","PKG-CTN-7","V-MEKONG-PACK","607","212","395","2026-05-24","2026-06-01","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0068","PO-0068","PR-0065","PLAN-007","PCB-MAIN-01","V-NOVA-PCB","314","109","205","2026-05-22","2026-05-27","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0069","PO-0069","PR-0066","PLAN-007","PWR-ADP-12V","V-ORBIT-PARTS","352","316","36","2026-05-24","2026-05-24","Y","normal receipt update"
"GRN-0070","PO-0070","PR-0067","PLAN-007","CAS-AL-2","V-ALPHA-CASING","408","142","266","2026-05-26","","N","GRN updated late or open PO not visible to planner during MRP run"
