"plan_id","week_start","product_id","planned_units","customer_priority","planner"
"PLAN-001","2026-04-01","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-001","2026-04-01","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-001","2026-04-01","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-001","2026-04-01","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-002","2026-04-08","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-002","2026-04-08","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-002","2026-04-08","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-002","2026-04-08","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-003","2026-04-15","FG-SENSOR-HUB","495","normal","Nguyen Minh An"
"PLAN-003","2026-04-15","FG-IOT-GATEWAY","335","normal","Nguyen Minh An"
"PLAN-003","2026-04-15","FG-POWER-NODE","425","normal","Nguyen Minh An"
"PLAN-003","2026-04-15","FG-ENV-MONITOR","385","normal","Nguyen Minh An"
"PLAN-004","2026-04-22","FG-SENSOR-HUB","520","normal","Nguyen Minh An"
"PLAN-004","2026-04-22","FG-IOT-GATEWAY","360","normal","Nguyen Minh An"
"PLAN-004","2026-04-22","FG-POWER-NODE","450","normal","Nguyen Minh An"
"PLAN-004","2026-04-22","FG-ENV-MONITOR","410","normal","Nguyen Minh An"
"PLAN-005","2026-04-29","FG-SENSOR-HUB","420","normal","Nguyen Minh An"
"PLAN-005","2026-04-29","FG-IOT-GATEWAY","260","normal","Nguyen Minh An"
"PLAN-005","2026-04-29","FG-POWER-NODE","350","normal","Nguyen Minh An"
"PLAN-005","2026-04-29","FG-ENV-MONITOR","310","normal","Nguyen Minh An"
"PLAN-006","2026-05-06","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-006","2026-05-06","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-006","2026-05-06","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-006","2026-05-06","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-007","2026-05-13","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-007","2026-05-13","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-007","2026-05-13","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-007","2026-05-13","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-008","2026-05-20","FG-SENSOR-HUB","495","normal","Nguyen Minh An"
"PLAN-008","2026-05-20","FG-IOT-GATEWAY","335","normal","Nguyen Minh An"
"PLAN-008","2026-05-20","FG-POWER-NODE","425","normal","Nguyen Minh An"
"PLAN-008","2026-05-20","FG-ENV-MONITOR","385","normal","Nguyen Minh An"
"PLAN-009","2026-05-27","FG-SENSOR-HUB","640","rush","Nguyen Minh An"
"PLAN-009","2026-05-27","FG-IOT-GATEWAY","480","rush","Nguyen Minh An"
"PLAN-009","2026-05-27","FG-POWER-NODE","570","rush","Nguyen Minh An"
"PLAN-009","2026-05-27","FG-ENV-MONITOR","530","rush","Nguyen Minh An"
"PLAN-010","2026-06-03","FG-SENSOR-HUB","540","rush","Nguyen Minh An"
"PLAN-010","2026-06-03","FG-IOT-GATEWAY","380","rush","Nguyen Minh An"
"PLAN-010","2026-06-03","FG-POWER-NODE","470","rush","Nguyen Minh An"
"PLAN-010","2026-06-03","FG-ENV-MONITOR","430","rush","Nguyen Minh An"
"PLAN-011","2026-06-10","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-011","2026-06-10","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-011","2026-06-10","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-011","2026-06-10","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-012","2026-06-17","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-012","2026-06-17","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-012","2026-06-17","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-012","2026-06-17","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-013","2026-06-24","FG-SENSOR-HUB","495","normal","Nguyen Minh An"
"PLAN-013","2026-06-24","FG-IOT-GATEWAY","335","normal","Nguyen Minh An"
"PLAN-013","2026-06-24","FG-POWER-NODE","425","normal","Nguyen Minh An"
"PLAN-013","2026-06-24","FG-ENV-MONITOR","385","normal","Nguyen Minh An"
"PLAN-014","2026-07-01","FG-SENSOR-HUB","520","normal","Nguyen Minh An"
"PLAN-014","2026-07-01","FG-IOT-GATEWAY","360","normal","Nguyen Minh An"
"PLAN-014","2026-07-01","FG-POWER-NODE","450","normal","Nguyen Minh An"
"PLAN-014","2026-07-01","FG-ENV-MONITOR","410","normal","Nguyen Minh An"
"PLAN-015","2026-07-08","FG-SENSOR-HUB","420","normal","Nguyen Minh An"
"PLAN-015","2026-07-08","FG-IOT-GATEWAY","260","normal","Nguyen Minh An"
"PLAN-015","2026-07-08","FG-POWER-NODE","350","normal","Nguyen Minh An"
"PLAN-015","2026-07-08","FG-ENV-MONITOR","310","normal","Nguyen Minh An"
"PLAN-016","2026-07-15","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-016","2026-07-15","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-016","2026-07-15","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-016","2026-07-15","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-017","2026-07-22","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-017","2026-07-22","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-017","2026-07-22","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-017","2026-07-22","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-018","2026-07-29","FG-SENSOR-HUB","615","rush","Nguyen Minh An"
"PLAN-018","2026-07-29","FG-IOT-GATEWAY","455","rush","Nguyen Minh An"
"PLAN-018","2026-07-29","FG-POWER-NODE","545","rush","Nguyen Minh An"
"PLAN-018","2026-07-29","FG-ENV-MONITOR","505","rush","Nguyen Minh An"
"PLAN-019","2026-08-05","FG-SENSOR-HUB","520","normal","Nguyen Minh An"
"PLAN-019","2026-08-05","FG-IOT-GATEWAY","360","normal","Nguyen Minh An"
"PLAN-019","2026-08-05","FG-POWER-NODE","450","normal","Nguyen Minh An"
"PLAN-019","2026-08-05","FG-ENV-MONITOR","410","normal","Nguyen Minh An"
"PLAN-020","2026-08-12","FG-SENSOR-HUB","420","normal","Nguyen Minh An"
"PLAN-020","2026-08-12","FG-IOT-GATEWAY","260","normal","Nguyen Minh An"
"PLAN-020","2026-08-12","FG-POWER-NODE","350","normal","Nguyen Minh An"
"PLAN-020","2026-08-12","FG-ENV-MONITOR","310","normal","Nguyen Minh An"
"PLAN-021","2026-08-19","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-021","2026-08-19","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-021","2026-08-19","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-021","2026-08-19","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-022","2026-08-26","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-022","2026-08-26","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-022","2026-08-26","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-022","2026-08-26","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-023","2026-09-02","FG-SENSOR-HUB","495","normal","Nguyen Minh An"
"PLAN-023","2026-09-02","FG-IOT-GATEWAY","335","normal","Nguyen Minh An"
"PLAN-023","2026-09-02","FG-POWER-NODE","425","normal","Nguyen Minh An"
"PLAN-023","2026-09-02","FG-ENV-MONITOR","385","normal","Nguyen Minh An"
"PLAN-024","2026-09-09","FG-SENSOR-HUB","520","normal","Nguyen Minh An"
"PLAN-024","2026-09-09","FG-IOT-GATEWAY","360","normal","Nguyen Minh An"
"PLAN-024","2026-09-09","FG-POWER-NODE","450","normal","Nguyen Minh An"
"PLAN-024","2026-09-09","FG-ENV-MONITOR","410","normal","Nguyen Minh An"
"PLAN-025","2026-09-16","FG-SENSOR-HUB","420","normal","Nguyen Minh An"
"PLAN-025","2026-09-16","FG-IOT-GATEWAY","260","normal","Nguyen Minh An"
"PLAN-025","2026-09-16","FG-POWER-NODE","350","normal","Nguyen Minh An"
"PLAN-025","2026-09-16","FG-ENV-MONITOR","310","normal","Nguyen Minh An"
"PLAN-026","2026-09-23","FG-SENSOR-HUB","445","normal","Nguyen Minh An"
"PLAN-026","2026-09-23","FG-IOT-GATEWAY","285","normal","Nguyen Minh An"
"PLAN-026","2026-09-23","FG-POWER-NODE","375","normal","Nguyen Minh An"
"PLAN-026","2026-09-23","FG-ENV-MONITOR","335","normal","Nguyen Minh An"
"PLAN-027","2026-09-30","FG-SENSOR-HUB","470","normal","Nguyen Minh An"
"PLAN-027","2026-09-30","FG-IOT-GATEWAY","310","normal","Nguyen Minh An"
"PLAN-027","2026-09-30","FG-POWER-NODE","400","normal","Nguyen Minh An"
"PLAN-027","2026-09-30","FG-ENV-MONITOR","360","normal","Nguyen Minh An"
"PLAN-028","2026-10-07","FG-SENSOR-HUB","495","normal","Nguyen Minh An"
"PLAN-028","2026-10-07","FG-IOT-GATEWAY","335","normal","Nguyen Minh An"
"PLAN-028","2026-10-07","FG-POWER-NODE","425","normal","Nguyen Minh An"
"PLAN-028","2026-10-07","FG-ENV-MONITOR","385","normal","Nguyen Minh An"
"PLAN-029","2026-10-14","FG-SENSOR-HUB","520","normal","Nguyen Minh An"
"PLAN-029","2026-10-14","FG-IOT-GATEWAY","360","normal","Nguyen Minh An"
"PLAN-029","2026-10-14","FG-POWER-NODE","450","normal","Nguyen Minh An"
"PLAN-029","2026-10-14","FG-ENV-MONITOR","410","normal","Nguyen Minh An"
"PLAN-030","2026-10-21","FG-SENSOR-HUB","420","normal","Nguyen Minh An"
"PLAN-030","2026-10-21","FG-IOT-GATEWAY","260","normal","Nguyen Minh An"
"PLAN-030","2026-10-21","FG-POWER-NODE","350","normal","Nguyen Minh An"
"PLAN-030","2026-10-21","FG-ENV-MONITOR","310","normal","Nguyen Minh An"
