"po_id","pr_id","plan_id","po_date","material_id","vendor_id","po_qty","unit_price","target_price","emergency_flag","approved_by","approval_note"
"PO-0001","PR-0001","PLAN-001","2026-03-23","SCR-M2-04","V-ORBIT-PARTS","2697","0.025","0.025","N","Purchasing Manager",""
"PO-0002","PR-0002","PLAN-001","2026-03-24","PKG-CTN-7","V-MEKONG-PACK","574","0.82","0.82","N","Purchasing Manager",""
"PO-0003","PR-0003","PLAN-001","2026-03-25","PCB-MAIN-01","V-NOVA-PCB","288","18.5","18.5","N","Purchasing Manager",""
"PO-0004","PR-0004","PLAN-001","2026-03-22","PWR-ADP-12V","V-ORBIT-PARTS","288","6.9","6.9","N","Purchasing Manager",""
"PO-0005","PR-0005","PLAN-001","2026-03-23","CAS-AL-2","V-ALPHA-CASING","375","7.1","7.1","N","Purchasing Manager",""
"PO-0006","PR-0006","PLAN-001","2026-03-24","PWR-CAB-USB","V-ORBIT-PARTS","288","1.25","1.25","N","Purchasing Manager",""
"PO-0007","PR-0007","PLAN-001","2026-03-25","PKG-LBL-QC","V-MEKONG-PACK","387","0.18","0.18","N","Purchasing Manager",""
"PO-0008","PR-0008","PLAN-001","2026-03-22","SCR-M2-04","V-ORBIT-PARTS","1692","0.025","0.025","N","Purchasing Manager",""
"PO-0009","PR-0009","PLAN-001","2026-03-23","PKG-CTN-7","V-MEKONG-PACK","433","0.82","0.82","N","Purchasing Manager",""
"PO-0010","PR-0010","PLAN-002","2026-03-31","PCB-MAIN-01","V-NOVA-PCB","475","18.5","18.5","N","Purchasing Manager",""
"PO-0011","PR-0011","PLAN-002","2026-04-01","PWR-ADP-12V","V-ORBIT-PARTS","532","6.9","6.9","N","Purchasing Manager",""
"PO-0012","PR-0012","PLAN-002","2026-03-29","CAS-AL-2","V-ALPHA-CASING","618","7.1","7.1","N","Purchasing Manager",""
"PO-0013","PR-0013","PLAN-002","2026-03-30","SEN-TEMP-01","V-FUTURE-SENSOR","1188","12.4","12.4","N","Purchasing Manager",""
"PO-0014","PR-0014","PLAN-002","2026-03-31","THM-PAD-01","V-ORBIT-PARTS","627","0.31","0.31","N","Purchasing Manager",""
"PO-0015","PR-0015","PLAN-002","2026-04-01","PKG-CTN-7","V-MEKONG-PACK","515","0.82","0.82","N","Purchasing Manager",""
"PO-0016","PR-0016","PLAN-002","2026-03-29","PCB-IO-02","V-NOVA-PCB","404","9.8","9.8","N","Purchasing Manager",""
"PO-0017","PR-0017","PLAN-002","2026-03-30","SCR-M2-04","V-ORBIT-PARTS","1616","0.03","0.025","Y","Purchasing Manager","urgent supply"
"PO-0018","PR-0018","PLAN-002","2026-03-31","CAS-PL-1","V-ALPHA-CASING","378","3.8","3.8","N","Purchasing Manager",""
"PO-0019","PR-0019","PLAN-002","2026-04-01","PCB-MAIN-01","V-NOVA-PCB","182","18.5","18.5","N","Purchasing Manager","split delivery slot"
"PO-0020","PR-0019","PLAN-002","2026-03-29","PCB-MAIN-01","V-NOVA-PCB","182","18.5","18.5","N","Purchasing Manager","split delivery slot"
"PO-0021","PR-0020","PLAN-002","2026-03-30","SEN-TEMP-01","V-FUTURE-SENSOR","455","13.888","12.4","N","Purchasing Manager",""
"PO-0022","PR-0021","PLAN-002","2026-03-31","PWR-CAB-USB","V-ORBIT-PARTS","364","1.25","1.25","N","Purchasing Manager",""
"PO-0023","PR-0022","PLAN-003","2026-04-08","PKG-LBL-QC","V-MEKONG-PACK","1143","0.18","0.18","N","Purchasing Manager",""
"PO-0024","PR-0023","PLAN-003","2026-04-05","THM-PAD-01","V-ORBIT-PARTS","500","0.31","0.31","N","Purchasing Manager",""
"PO-0025","PR-0024","PLAN-003","2026-04-06","PCB-IO-02","V-NOVA-PCB","339","9.8","9.8","N","Purchasing Manager",""
"PO-0026","PR-0025","PLAN-003","2026-04-07","SCR-M2-04","V-ORBIT-PARTS","2707","0.025","0.025","N","Purchasing Manager",""
"PO-0027","PR-0026","PLAN-003","2026-04-08","PKG-CTN-7","V-MEKONG-PACK","433","0.82","0.82","N","Purchasing Manager",""
"PO-0028","PR-0027","PLAN-003","2026-04-05","CAS-PL-1","V-ALPHA-CASING","447","3.8","3.8","N","Purchasing Manager",""
"PO-0029","PR-0028","PLAN-003","2026-04-06","PWR-CAB-USB","V-ORBIT-PARTS","430","1.25","1.25","N","Purchasing Manager",""
"PO-0030","PR-0029","PLAN-003","2026-04-07","PWR-ADP-12V","V-ORBIT-PARTS","430","6.9","6.9","N","Purchasing Manager",""
"PO-0031","PR-0030","PLAN-003","2026-04-08","PKG-LBL-QC","V-MEKONG-PACK","794","0.18","0.18","N","Purchasing Manager",""
"PO-0032","PR-0031","PLAN-003","2026-04-05","SEN-HUM-02","V-FUTURE-SENSOR","487","14.2","14.2","N","Purchasing Manager",""
"PO-0033","PR-0032","PLAN-004","2026-04-13","SCR-M2-04","V-ORBIT-PARTS","3152","0.025","0.025","N","Purchasing Manager",""
"PO-0034","PR-0033","PLAN-004","2026-04-14","PKG-CTN-7","V-MEKONG-PACK","751","0.82","0.82","N","Purchasing Manager",""
"PO-0035","PR-0034","PLAN-004","2026-04-15","PCB-MAIN-01","V-NOVA-PCB","364","21.83","18.5","Y","Purchasing Manager","urgent supply"
"PO-0036","PR-0035","PLAN-004","2026-04-12","PWR-ADP-12V","V-ORBIT-PARTS","364","6.9","6.9","N","Purchasing Manager",""
"PO-0037","PR-0036","PLAN-004","2026-04-13","CAS-AL-2","V-ALPHA-CASING","473","7.1","7.1","N","Purchasing Manager",""
"PO-0038","PR-0037","PLAN-004","2026-04-14","PWR-CAB-USB","V-ORBIT-PARTS","364","1.25","1.25","N","Purchasing Manager",""
"PO-0039","PR-0038","PLAN-004","2026-04-15","PKG-LBL-QC","V-MEKONG-PACK","232","0.18","0.18","N","Purchasing Manager","split delivery slot"
"PO-0040","PR-0038","PLAN-004","2026-04-12","PKG-LBL-QC","V-MEKONG-PACK","232","0.18","0.18","N","Purchasing Manager","split delivery slot"
"PO-0041","PR-0039","PLAN-004","2026-04-13","SCR-M2-04","V-ORBIT-PARTS","2071","0.025","0.025","N","Purchasing Manager",""
"PO-0042","PR-0040","PLAN-004","2026-04-14","PKG-CTN-7","V-MEKONG-PACK","529","0.82","0.82","N","Purchasing Manager",""
"PO-0043","PR-0041","PLAN-005","2026-04-22","PCB-MAIN-01","V-NOVA-PCB","425","18.5","18.5","N","Purchasing Manager",""
"PO-0044","PR-0042","PLAN-005","2026-04-19","PWR-ADP-12V","V-ORBIT-PARTS","425","6.9","6.9","N","Purchasing Manager",""
"PO-0045","PR-0043","PLAN-005","2026-04-20","CAS-AL-2","V-ALPHA-CASING","552","7.1","7.1","N","Purchasing Manager",""
"PO-0046","PR-0044","PLAN-005","2026-04-21","SEN-TEMP-01","V-FUTURE-SENSOR","1190","13.888","12.4","N","Purchasing Manager",""
"PO-0047","PR-0045","PLAN-005","2026-04-22","THM-PAD-01","V-ORBIT-PARTS","526","0.31","0.31","N","Purchasing Manager",""
"PO-0048","PR-0046","PLAN-005","2026-04-19","PKG-CTN-7","V-MEKONG-PACK","452","0.82","0.82","N","Purchasing Manager",""
"PO-0049","PR-0047","PLAN-005","2026-04-20","PCB-IO-02","V-NOVA-PCB","354","9.8","9.8","N","Purchasing Manager",""
"PO-0050","PR-0048","PLAN-005","2026-04-21","SCR-M2-04","V-ORBIT-PARTS","1414","0.025","0.025","N","Purchasing Manager",""
"PO-0051","PR-0049","PLAN-005","2026-04-22","CAS-PL-1","V-ALPHA-CASING","326","3.8","3.8","N","Purchasing Manager",""
"PO-0052","PR-0050","PLAN-005","2026-04-19","PCB-MAIN-01","V-NOVA-PCB","314","18.5","18.5","N","Purchasing Manager",""
"PO-0053","PR-0051","PLAN-005","2026-04-20","SEN-TEMP-01","V-FUTURE-SENSOR","393","14.632","12.4","Y","Purchasing Manager","urgent supply"
"PO-0054","PR-0052","PLAN-005","2026-04-21","PWR-CAB-USB","V-ORBIT-PARTS","314","1.25","1.25","N","Purchasing Manager",""
"PO-0055","PR-0053","PLAN-006","2026-04-29","PKG-LBL-QC","V-MEKONG-PACK","917","0.18","0.18","N","Purchasing Manager",""
"PO-0056","PR-0054","PLAN-006","2026-04-26","THM-PAD-01","V-ORBIT-PARTS","450","0.31","0.31","N","Purchasing Manager",""
"PO-0057","PR-0055","PLAN-006","2026-04-27","PCB-IO-02","V-NOVA-PCB","323","9.8","9.8","N","Purchasing Manager",""
"PO-0058","PR-0056","PLAN-006","2026-04-28","SCR-M2-04","V-ORBIT-PARTS","2303","0.025","0.025","N","Purchasing Manager",""
"PO-0059","PR-0057","PLAN-006","2026-04-29","PKG-CTN-7","V-MEKONG-PACK","184","0.82","0.82","N","Purchasing Manager","split delivery slot"
"PO-0060","PR-0057","PLAN-006","2026-04-26","PKG-CTN-7","V-MEKONG-PACK","184","0.82","0.82","N","Purchasing Manager","split delivery slot"
"PO-0061","PR-0058","PLAN-006","2026-04-27","CAS-PL-1","V-ALPHA-CASING","394","3.8","3.8","N","Purchasing Manager",""
"PO-0062","PR-0059","PLAN-006","2026-04-28","PWR-CAB-USB","V-ORBIT-PARTS","379","1.25","1.25","N","Purchasing Manager",""
"PO-0063","PR-0060","PLAN-006","2026-04-29","PWR-ADP-12V","V-ORBIT-PARTS","379","6.9","6.9","N","Purchasing Manager",""
"PO-0064","PR-0061","PLAN-006","2026-04-26","PKG-LBL-QC","V-MEKONG-PACK","691","0.18","0.18","N","Purchasing Manager",""
"PO-0065","PR-0062","PLAN-006","2026-04-27","SEN-HUM-02","V-FUTURE-SENSOR","424","14.2","14.2","N","Purchasing Manager",""
"PO-0066","PR-0063","PLAN-007","2026-05-05","SCR-M2-04","V-ORBIT-PARTS","2849","0.025","0.025","N","Purchasing Manager",""
"PO-0067","PR-0064","PLAN-007","2026-05-06","PKG-CTN-7","V-MEKONG-PACK","607","0.82","0.82","N","Purchasing Manager",""
"PO-0068","PR-0065","PLAN-007","2026-05-03","PCB-MAIN-01","V-NOVA-PCB","314","18.5","18.5","N","Purchasing Manager",""
"PO-0069","PR-0066","PLAN-007","2026-05-04","PWR-ADP-12V","V-ORBIT-PARTS","352","6.9","6.9","N","Purchasing Manager",""
"PO-0070","PR-0067","PLAN-007","2026-05-05","CAS-AL-2","V-ALPHA-CASING","408","7.1","7.1","N","Purchasing Manager",""
"PO-0071","PR-0068","PLAN-007","2026-05-06","PWR-CAB-USB","V-ORBIT-PARTS","314","1.475","1.25","Y","Purchasing Manager","urgent supply"
