"pr_id","plan_id","request_date","material_id","requested_qty","required_qty_by_bom","requester","urgent_flag","exception_reason","approval_status","approved_by"
"PR-0001","PLAN-001","2026-03-19","SCR-M2-04","2697","2697","Nguyen Minh An","N","","approved","Production Manager"
"PR-0002","PLAN-001","2026-03-20","PKG-CTN-7","574","459","Nguyen Minh An","N","","approved","Production Manager"
"PR-0003","PLAN-001","2026-03-21","PCB-MAIN-01","288","288","Nguyen Minh An","N","","approved","Production Manager"
"PR-0004","PLAN-001","2026-03-22","PWR-ADP-12V","288","288","Nguyen Minh An","N","","approved","Production Manager"
"PR-0005","PLAN-001","2026-03-18","CAS-AL-2","375","300","Nguyen Minh An","N","","approved","Production Manager"
"PR-0006","PLAN-001","2026-03-19","PWR-CAB-USB","288","288","Nguyen Minh An","N","","approved","Production Manager"
"PR-0007","PLAN-001","2026-03-20","PKG-LBL-QC","387","387","Nguyen Minh An","N","","approved","Production Manager"
"PR-0008","PLAN-001","2026-03-21","SCR-M2-04","1692","1692","Nguyen Minh An","N","","approved","Production Manager"
"PR-0009","PLAN-001","2026-03-22","PKG-CTN-7","433","346","Nguyen Minh An","N","","approved","Production Manager"
"PR-0010","PLAN-002","2026-03-25","PCB-MAIN-01","475","475","Nguyen Minh An","N","","approved","Production Manager"
"PR-0011","PLAN-002","2026-03-26","PWR-ADP-12V","475","475","Nguyen Minh An","N","","approved","Production Manager"
"PR-0012","PLAN-002","2026-03-27","CAS-AL-2","618","494","Nguyen Minh An","N","","approved","Production Manager"
"PR-0013","PLAN-002","2026-03-28","SEN-TEMP-01","1188","950","Nguyen Minh An","N","","approved","Production Manager"
"PR-0014","PLAN-002","2026-03-29","THM-PAD-01","627","627","Nguyen Minh An","N","","approved","Production Manager"
"PR-0015","PLAN-002","2026-03-25","PKG-CTN-7","515","412","Nguyen Minh An","N","","approved","Production Manager"
"PR-0016","PLAN-002","2026-03-26","PCB-IO-02","404","404","Nguyen Minh An","N","","approved","Production Manager"
"PR-0017","PLAN-002","2026-03-27","SCR-M2-04","1616","1616","Nguyen Minh An","Y","","approved","Production Manager"
"PR-0018","PLAN-002","2026-03-28","CAS-PL-1","378","378","Nguyen Minh An","N","","approved","Production Manager"
"PR-0019","PLAN-002","2026-03-29","PCB-MAIN-01","364","364","Nguyen Minh An","N","","approved","Production Manager"
"PR-0020","PLAN-002","2026-03-25","SEN-TEMP-01","455","364","Nguyen Minh An","N","","approved","Production Manager"
"PR-0021","PLAN-002","2026-03-26","PWR-CAB-USB","364","364","Nguyen Minh An","N","","approved","Production Manager"
"PR-0022","PLAN-003","2026-04-03","PKG-LBL-QC","1020","1020","Nguyen Minh An","N","","approved","Production Manager"
"PR-0023","PLAN-003","2026-04-04","THM-PAD-01","500","500","Nguyen Minh An","N","","approved","Production Manager"
"PR-0024","PLAN-003","2026-04-05","PCB-IO-02","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0025","PLAN-003","2026-04-01","SCR-M2-04","2707","2707","Nguyen Minh An","N","","approved","Production Manager"
"PR-0026","PLAN-003","2026-04-02","PKG-CTN-7","433","346","Nguyen Minh An","N","","approved","Production Manager"
"PR-0027","PLAN-003","2026-04-03","CAS-PL-1","447","447","Nguyen Minh An","N","","approved","Production Manager"
"PR-0028","PLAN-003","2026-04-04","PWR-CAB-USB","430","430","Nguyen Minh An","N","","approved","Production Manager"
"PR-0029","PLAN-003","2026-04-05","PWR-ADP-12V","430","430","Nguyen Minh An","N","","approved","Production Manager"
"PR-0030","PLAN-003","2026-04-01","PKG-LBL-QC","794","794","Nguyen Minh An","N","","approved","Production Manager"
"PR-0031","PLAN-003","2026-04-02","SEN-HUM-02","487","389","Nguyen Minh An","N","","approved","Production Manager"
"PR-0032","PLAN-004","2026-04-10","SCR-M2-04","3152","3152","Nguyen Minh An","N","","approved","Production Manager"
"PR-0033","PLAN-004","2026-04-11","PKG-CTN-7","670","536","Nguyen Minh An","N","","approved","Production Manager"
"PR-0034","PLAN-004","2026-04-12","PCB-MAIN-01","364","364","Nguyen Minh An","Y","","approved","Production Manager"
"PR-0035","PLAN-004","2026-04-08","PWR-ADP-12V","364","364","Nguyen Minh An","N","","approved","Production Manager"
"PR-0036","PLAN-004","2026-04-09","CAS-AL-2","473","378","Nguyen Minh An","N","","approved","Production Manager"
"PR-0037","PLAN-004","2026-04-10","PWR-CAB-USB","364","364","Nguyen Minh An","N","","approved","Production Manager"
"PR-0038","PLAN-004","2026-04-11","PKG-LBL-QC","464","464","Nguyen Minh An","N","","approved","Production Manager"
"PR-0039","PLAN-004","2026-04-12","SCR-M2-04","2071","2071","Nguyen Minh An","N","","approved","Production Manager"
"PR-0040","PLAN-004","2026-04-08","PKG-CTN-7","529","423","Nguyen Minh An","N","","approved","Production Manager"
"PR-0041","PLAN-005","2026-04-16","PCB-MAIN-01","425","425","Nguyen Minh An","N","","approved","Production Manager"
"PR-0042","PLAN-005","2026-04-17","PWR-ADP-12V","425","425","Nguyen Minh An","N","","approved","Production Manager"
"PR-0043","PLAN-005","2026-04-18","CAS-AL-2","552","441","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0044","PLAN-005","2026-04-19","SEN-TEMP-01","1062","849","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0045","PLAN-005","2026-04-15","THM-PAD-01","526","526","Nguyen Minh An","N","","approved","Production Manager"
"PR-0046","PLAN-005","2026-04-16","PKG-CTN-7","452","361","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0047","PLAN-005","2026-04-17","PCB-IO-02","354","354","Nguyen Minh An","N","","approved","Production Manager"
"PR-0048","PLAN-005","2026-04-18","SCR-M2-04","1414","1414","Nguyen Minh An","N","","approved","Production Manager"
"PR-0049","PLAN-005","2026-04-19","CAS-PL-1","326","326","Nguyen Minh An","N","","approved","Production Manager"
"PR-0050","PLAN-005","2026-04-15","PCB-MAIN-01","314","314","Nguyen Minh An","N","","approved","Production Manager"
"PR-0051","PLAN-005","2026-04-16","SEN-TEMP-01","393","314","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0052","PLAN-005","2026-04-17","PWR-CAB-USB","314","314","Nguyen Minh An","N","","approved","Production Manager"
"PR-0053","PLAN-006","2026-04-25","PKG-LBL-QC","917","917","Nguyen Minh An","N","","approved","Production Manager"
"PR-0054","PLAN-006","2026-04-26","THM-PAD-01","450","450","Nguyen Minh An","N","","approved","Production Manager"
"PR-0055","PLAN-006","2026-04-22","PCB-IO-02","288","288","Nguyen Minh An","N","","approved","Production Manager"
"PR-0056","PLAN-006","2026-04-23","SCR-M2-04","2303","2303","Nguyen Minh An","N","","approved","Production Manager"
"PR-0057","PLAN-006","2026-04-24","PKG-CTN-7","368","294","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0058","PLAN-006","2026-04-25","CAS-PL-1","394","394","Nguyen Minh An","N","","approved","Production Manager"
"PR-0059","PLAN-006","2026-04-26","PWR-CAB-USB","379","379","Nguyen Minh An","N","","approved","Production Manager"
"PR-0060","PLAN-006","2026-04-22","PWR-ADP-12V","379","379","Nguyen Minh An","N","","approved","Production Manager"
"PR-0061","PLAN-006","2026-04-23","PKG-LBL-QC","691","691","Nguyen Minh An","N","","approved","Production Manager"
"PR-0062","PLAN-006","2026-04-24","SEN-HUM-02","424","339","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0063","PLAN-007","2026-05-02","SCR-M2-04","2849","2849","Nguyen Minh An","N","","approved","Production Manager"
"PR-0064","PLAN-007","2026-05-03","PKG-CTN-7","607","485","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0065","PLAN-007","2026-04-29","PCB-MAIN-01","314","314","Nguyen Minh An","N","","approved","Production Manager"
"PR-0066","PLAN-007","2026-04-30","PWR-ADP-12V","314","314","Nguyen Minh An","N","","approved","Production Manager"
"PR-0067","PLAN-007","2026-05-01","CAS-AL-2","408","326","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0068","PLAN-007","2026-05-02","PWR-CAB-USB","314","314","Nguyen Minh An","Y","","approved","Production Manager"
"PR-0069","PLAN-007","2026-05-03","PKG-LBL-QC","412","412","Nguyen Minh An","N","","approved","Production Manager"
"PR-0070","PLAN-007","2026-04-29","SCR-M2-04","1818","1818","Nguyen Minh An","N","","approved","Production Manager"
"PR-0071","PLAN-007","2026-04-30","PKG-CTN-7","464","371","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0072","PLAN-008","2026-05-08","PCB-MAIN-01","500","500","Nguyen Minh An","N","","approved","Production Manager"
"PR-0073","PLAN-008","2026-05-09","PWR-ADP-12V","500","500","Nguyen Minh An","N","","approved","Production Manager"
"PR-0074","PLAN-008","2026-05-10","CAS-AL-2","650","520","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0075","PLAN-008","2026-05-06","SEN-TEMP-01","1250","1000","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0076","PLAN-008","2026-05-07","THM-PAD-01","677","677","Nguyen Minh An","N","","approved","Production Manager"
"PR-0077","PLAN-008","2026-05-08","PKG-CTN-7","548","438","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0078","PLAN-008","2026-05-09","PCB-IO-02","430","430","Nguyen Minh An","N","","approved","Production Manager"
"PR-0079","PLAN-008","2026-05-10","SCR-M2-04","1717","1717","Nguyen Minh An","N","","approved","Production Manager"
"PR-0080","PLAN-008","2026-05-06","CAS-PL-1","405","405","Nguyen Minh An","N","","approved","Production Manager"
"PR-0081","PLAN-008","2026-05-07","PCB-MAIN-01","389","389","Nguyen Minh An","N","","approved","Production Manager"
"PR-0082","PLAN-008","2026-05-08","SEN-TEMP-01","487","389","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0083","PLAN-008","2026-05-09","PWR-CAB-USB","389","389","Nguyen Minh An","N","","approved","Production Manager"
"PR-0084","PLAN-009","2026-05-17","PKG-LBL-QC","1557","1319","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0085","PLAN-009","2026-05-13","THM-PAD-01","764","647","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0086","PLAN-009","2026-05-14","PCB-IO-02","573","485","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0087","PLAN-009","2026-05-15","SCR-M2-04","4578","3879","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0088","PLAN-009","2026-05-16","PKG-CTN-7","708","495","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0089","PLAN-009","2026-05-17","CAS-PL-1","707","599","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0090","PLAN-009","2026-05-13","PWR-CAB-USB","680","576","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0091","PLAN-009","2026-05-14","PWR-ADP-12V","680","576","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0092","PLAN-009","2026-05-15","PKG-LBL-QC","1289","1092","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0093","PLAN-009","2026-05-16","SEN-HUM-02","767","536","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0094","PLAN-010","2026-05-24","SCR-M2-04","3863","3273","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0095","PLAN-010","2026-05-20","PKG-CTN-7","797","557","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0096","PLAN-010","2026-05-21","PCB-MAIN-01","454","384","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0097","PLAN-010","2026-05-22","PWR-ADP-12V","454","384","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0098","PLAN-010","2026-05-23","CAS-AL-2","571","399","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0099","PLAN-010","2026-05-24","PWR-CAB-USB","454","384","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0100","PLAN-010","2026-05-20","PKG-LBL-QC","573","485","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0101","PLAN-010","2026-05-21","SCR-M2-04","2563","2172","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0102","PLAN-010","2026-05-22","PKG-CTN-7","634","443","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0103","PLAN-011","2026-05-30","PCB-MAIN-01","450","450","Nguyen Minh An","N","","approved","Production Manager"
"PR-0104","PLAN-011","2026-05-31","PWR-ADP-12V","450","450","Nguyen Minh An","N","","approved","Production Manager"
"PR-0105","PLAN-011","2026-05-27","CAS-AL-2","585","468","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0106","PLAN-011","2026-05-28","SEN-TEMP-01","1124","899","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0107","PLAN-011","2026-05-29","THM-PAD-01","576","576","Nguyen Minh An","N","","approved","Production Manager"
"PR-0108","PLAN-011","2026-05-30","PKG-CTN-7","484","387","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0109","PLAN-011","2026-05-31","PCB-IO-02","379","379","Nguyen Minh An","N","","approved","Production Manager"
"PR-0110","PLAN-011","2026-05-27","SCR-M2-04","1515","1515","Nguyen Minh An","N","","approved","Production Manager"
"PR-0111","PLAN-011","2026-05-28","CAS-PL-1","352","352","Nguyen Minh An","N","","approved","Production Manager"
"PR-0112","PLAN-011","2026-05-29","PCB-MAIN-01","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0113","PLAN-011","2026-05-30","SEN-TEMP-01","424","339","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0114","PLAN-011","2026-05-31","PWR-CAB-USB","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0115","PLAN-012","2026-06-03","PKG-LBL-QC","969","969","Nguyen Minh An","N","","approved","Production Manager"
"PR-0116","PLAN-012","2026-06-04","THM-PAD-01","475","475","Nguyen Minh An","N","","approved","Production Manager"
"PR-0117","PLAN-012","2026-06-05","PCB-IO-02","314","314","Nguyen Minh An","N","","approved","Production Manager"
"PR-0118","PLAN-012","2026-06-06","SCR-M2-04","2505","2505","Nguyen Minh An","N","","approved","Production Manager"
"PR-0119","PLAN-012","2026-06-07","PKG-CTN-7","400","320","Nguyen Minh An","Y","buffer for line stoppage risk","approved","Production Manager"
"PR-0120","PLAN-012","2026-06-03","CAS-PL-1","420","420","Nguyen Minh An","N","","approved","Production Manager"
"PR-0121","PLAN-012","2026-06-04","PWR-CAB-USB","404","404","Nguyen Minh An","N","","approved","Production Manager"
"PR-0122","PLAN-012","2026-06-05","PWR-ADP-12V","404","404","Nguyen Minh An","N","","approved","Production Manager"
"PR-0123","PLAN-012","2026-06-06","PKG-LBL-QC","742","742","Nguyen Minh An","N","","approved","Production Manager"
"PR-0124","PLAN-012","2026-06-07","SEN-HUM-02","455","364","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0125","PLAN-013","2026-06-10","SCR-M2-04","3000","3000","Nguyen Minh An","N","","approved","Production Manager"
"PR-0126","PLAN-013","2026-06-11","PKG-CTN-7","638","510","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0127","PLAN-013","2026-06-12","PCB-MAIN-01","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0128","PLAN-013","2026-06-13","PWR-ADP-12V","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0129","PLAN-013","2026-06-14","CAS-AL-2","440","352","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0130","PLAN-013","2026-06-10","PWR-CAB-USB","339","339","Nguyen Minh An","N","","approved","Production Manager"
"PR-0131","PLAN-013","2026-06-11","PKG-LBL-QC","438","438","Nguyen Minh An","N","","approved","Production Manager"
"PR-0132","PLAN-013","2026-06-12","SCR-M2-04","1945","1945","Nguyen Minh An","N","","approved","Production Manager"
"PR-0133","PLAN-013","2026-06-13","PKG-CTN-7","497","397","Nguyen Minh An","N","buffer for line stoppage risk","approved","Production Manager"
"PR-0134","PLAN-014","2026-06-21","PCB-MAIN-01","526","526","Nguyen Minh An","N","","approved","Production Manager"
"PR-0135","PLAN-014","2026-06-17","PWR-ADP-12V","526","526","Nguyen Minh An","N","","approved","Production Manager"
